,quantity,slug,_id,name,price,sellerId,selectedVariation.color.name,selectedVariation.color.hex,selectedVariation.images,selectedVariation._id,selectedVariation.size,selectedVariation.stockTecidos,selectedVariation.tecidos._id,selectedVariation.tecidos.tecidosImages,selectedVariation.tecidos.name,associatedProduct,createdAt
0,1,saia-midi-botoes,5d91ece1e60e59001748e7ef,Saia Midi Botões ,16900,5caf95599eebb200176e2999,Preto,#000000,"['products/157126074266375-DSC_0113.png', 'products/157126074729876-DSC_0101.png', 'products/157126075022177-DSC_0108.png', 'products/157126075308178-DSC_0114.png', 'products/157126075601479-DSC_0116.png', 'products/157126075899380-DSC_0125.png', 'products/157126076192381-DSC_0134.png']",5dfb7b401e7b2600177c979b,g,,,,,,2020-10-07 20:25:45.279000+00:00
1,1,vestido-blusa-torcidinha,5d9362d850a40d001706cc40,Vestido Torcido,24200,5caf95599eebb200176e2999,Preto,#000000,['products/157598465219323-37797081_10215530482511751_4690558600282636288_n.jpg'],5dfb7a9c1e7b2600177c9758,P,,,,,,2020-10-07 20:37:13.589000+00:00
2,1,vestido-macaquinho-eco,5dc07dc81e48e00017b00427,Macaquinho Vestido ECO,17800,5caf95599eebb200176e2999,Azul,#8CD6C8,"['products/157909561312552-mcvestidoturquesa.jpg', 'products/157909561607153-mcvestidoturquesa1.jpg', 'products/157909561939554-mcvestidoturquesa2.jpg', 'products/157909562168455-mcvestidoturquesa3.jpg']",5e1f1629d0ae4900176fb471,P,,,,,,2020-10-12 18:43:12.876000+00:00
3,1,vestido-fendas,5f941b64e025390017714151,Vestido Fendas,19600,5caf95599eebb200176e2999,preto,#000000,"['products/16035418610651-enika.jpg', 'products/16035418639892-enika.jpg', 'products/16035418662093-enika.jpg', 'products/16035418682624-enika.jpg', 'products/16035418702575-enika.jpg', 'products/16035418725696-enika.jpg', 'products/16035418753777-enika.jpg']",5f941b64e025390017714152,P,False,,,,,2020-10-30 20:02:59.238000+00:00
4,1,vestido-recortes-bee,5f941d23e02539001771415e,Vestido Recortes Bee,17000,5caf95599eebb200176e2999,Estampa Bee,#000000,"['products/16035423083278-enika.jpg', 'products/16035423183329-enika.jpg', 'products/160354232713810-enika.jpg', 'products/160354232960811-enika.jpg', 'products/160354233242212-enika.jpg', 'products/160354233409413-enika.jpg', 'products/160354233634314-enika.jpg']",5f941d23e02539001771415f,P,False,,,,,2020-11-07 11:54:39.737000+00:00
5,1,camisa-oversized,5da77b7d035b1a00172b3b94,Camisa Oversized,17800,5caf95599eebb200176e2999,Marrom,"RGBA(157, 81, 14, 0.79)","['products/160371763713546-enika.jpg', 'products/160371763795047-enika.jpg', 'products/160371763840748-enika.jpg', 'products/160371763888349-enika.jpg', 'products/160371763938250-enika.jpg', 'products/160371763982951-enika.jpg', 'products/160371764026352-enika.jpg']",5dfb7a5c1e7b2600177c9716,G,,,,,,2020-10-26 16:06:30.227000+00:00
6,1,camisa-vestido,5fb7d11bceb85c00170b1a43,Camisa Vestido,17000,5caf95599eebb200176e2999,Preto,#000000,"['products/160588213981632-enika.jpg', 'products/160588214057833-enika.jpg', 'products/160588214086734-enika.jpg', 'products/160588214115835-enika.jpg', 'products/160588214134236-enika.jpg', 'products/160588214154737-enika.jpg', 'products/160588214177338-enika.jpg']",5fb7d11bceb85c00170b1a44,P,False,,,,,2020-12-05 18:46:33.254000+00:00
7,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Preto,#000000,"['products/157911707509125-calcacomphypreto1.jpg', 'products/157911708306826-calcacomphypreto2.jpg', 'products/157911708978327-calcacomphypreto4.jpg', 'products/157911709297928-calcacomphypreto5.jpg', 'products/157911709594729-calcacomphypreto10.jpg', 'products/157911709872230-calcacomphypreto11.jpg']",5e1f698cfb9bc20017fe99a2,GG,False,,,,,2020-11-24 20:08:06.736000+00:00
8,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Vermelho,#E74800,"['products/15988327244928-enika', 'products/15988327248989-enika', 'products/159883272531910-enika', 'products/159883272569011-enika', 'products/159883272606912-enika', 'products/159883272647713-enika']",5f4c40505d5e1900179a7f4e,M,False,,,,,2020-11-24 20:08:06.736000+00:00
9,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Preto,#000000,"['products/157911707509125-calcacomphypreto1.jpg', 'products/157911708306826-calcacomphypreto2.jpg', 'products/157911708978327-calcacomphypreto4.jpg', 'products/157911709297928-calcacomphypreto5.jpg', 'products/157911709594729-calcacomphypreto10.jpg', 'products/157911709872230-calcacomphypreto11.jpg']",5e1f698cfb9bc20017fe99a2,M,False,,,,,2020-12-08 00:22:50.824000+00:00
10,1,blusa-bata-bee,5fb6714cb1cfc40017145dd3,Blusa Bata Bee,9800,5caf95599eebb200176e2999,Azul,#243965,"['products/16057920767978-enika.jpg', 'products/16057920777719-enika.jpg', 'products/160579207856910-enika.jpg', 'products/160579207923811-enika.jpg']",5fb6714cb1cfc40017145dd4,G,False,,,,,2020-11-27 21:55:14.414000+00:00
11,1,macacao-amalia-eco,5dc0787a1e48e00017b003ed,Macacão Amalia ECO,21500,5caf95599eebb200176e2999,Vermelho,#E38394,"['products/15728948432488-DSC_0010.png', 'products/15728948519709-DSC_0025.png', 'products/157289485845710-DSC_0032.png', 'products/157289486498011-DSC_0038.png', 'products/157289487103212-DSC_0047.png', 'products/157289487723413-DSC_0065.png', 'products/157289488367714-DSC_0071.png']",5dfb7a061e7b2600177c96bc,M,False,,,,,2020-12-09 18:26:55.868000+00:00
12,1,macaquinho-evase,5fbd57a29dd8aa0017134f03,Macaquinho Evasê,16100,5caf95599eebb200176e2999,Vermelho,#EB0000,"['products/16062442587441-enika.jpg', 'products/16062442595742-enika.jpg', 'products/16062442599973-enika.jpg', 'products/16062442604324-enika.jpg', 'products/16062442608615-enika.jpg', 'products/16062442613076-enika.jpg', 'products/16062442617687-enika.jpg']",5fbd57a29dd8aa0017134f04,G,False,,,,,2020-12-14 14:43:16.720000+00:00
13,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Preto,#000000,"['products/157911707509125-calcacomphypreto1.jpg', 'products/157911708306826-calcacomphypreto2.jpg', 'products/157911708978327-calcacomphypreto4.jpg', 'products/157911709297928-calcacomphypreto5.jpg', 'products/157911709594729-calcacomphypreto10.jpg', 'products/157911709872230-calcacomphypreto11.jpg']",5e1f698cfb9bc20017fe99a2,G,False,,,,,2020-12-14 14:43:16.720000+00:00
14,1,vestido-thai-amarracao,5e738ee26025cf00171f027c,Vestido Thai Amarração,19700,5caf95599eebb200176e2999,Amarelo,#FFDB00,"['products/15846427155698-enika', 'products/15846427158729-enika', 'products/158464271596710-enika', 'products/158464271611511-enika', 'products/158464271621012-enika', 'products/158464271631613-enika']",5e73ba9b6025cf00171f0392,M,False,,,,,2020-12-09 22:51:05.568000+00:00
15,1,vestido-thai-amarracao,5e738ee26025cf00171f027c,Vestido Thai Amarração,19700,5caf95599eebb200176e2999,Natural,#EFCF9B,"['products/15846315227621-enika', 'products/15846315230372-enika', 'products/15846315232393-enika', 'products/15846315238254-enika', 'products/15846315241815-enika', 'products/15846315246306-enika', 'products/15846315253197-enika']",5e738ee26025cf00171f027d,P,False,,,,,2020-12-04 21:44:13.036000+00:00
16,1,vestido-fendas,5f941b64e025390017714151,Vestido Fendas,19600,5caf95599eebb200176e2999,Vermelho,#DF0000,"['products/160687886641114-enika.jpg', 'products/160687886715715-enika.jpg', 'products/160687886736116-enika.jpg', 'products/160687886749617-enika.jpg', 'products/160687886768218-enika.jpg', 'products/160687886783319-enika.jpg', 'products/160687886797420-enika.jpg']",5f941b64e025390017714152,PP,False,,,,,2020-12-07 13:22:50.732000+00:00
17,1,vestido-fendas,5f941b64e025390017714151,Vestido Fendas,19600,5caf95599eebb200176e2999,Vermelho,#DF0000,"['products/160687886641114-enika.jpg', 'products/160687886715715-enika.jpg', 'products/160687886736116-enika.jpg', 'products/160687886749617-enika.jpg', 'products/160687886768218-enika.jpg', 'products/160687886783319-enika.jpg', 'products/160687886797420-enika.jpg']",5f941b64e025390017714152,P,False,,,,,2020-12-14 11:00:40.108000+00:00
18,1,short-gode-linho,5fb67051b1cfc40017145dc6,Short Gode Linho,13400,5caf95599eebb200176e2999,branco,#FFFFFF,"['products/16058740778331-enika.jpg', 'products/16058740788103-enika.jpg', 'products/16058740790304-enika.jpg', 'products/16058740791705-enika.jpg', 'products/16058740793466-enika.jpg', 'products/16058743097347-enika.jpg']",5fb7b19dceb85c00170b16ec,P,False,,,,,2020-12-14 11:00:40.108000+00:00
19,1,calca-pantoloon,5f6a441a56adc60017ee7704,Calça Pantoloon,18700,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/160367985268010-enika.jpg', 'products/160367985344311-enika.jpg', 'products/160367985378312-enika.jpg', 'products/160367985422913-enika.jpg', 'products/160367985465214-enika.jpg']",5f96364089f4fa00170746dd,G,False,,,,,2020-12-16 15:46:39.065000+00:00
20,1,short-gode-linho,5fb67051b1cfc40017145dc6,Short Gode Linho,13400,5caf95599eebb200176e2999,branco,#FFFFFF,"['products/16058740778331-enika.jpg', 'products/16058740788103-enika.jpg', 'products/16058740790304-enika.jpg', 'products/16058740791705-enika.jpg', 'products/16058740793466-enika.jpg', 'products/16058743097347-enika.jpg']",5fb7b19dceb85c00170b16ec,M,False,,,,,2020-12-17 20:36:43.081000+00:00
21,1,macaquinho-evase,5fbd57a29dd8aa0017134f03,Macaquinho Evasê,16100,5caf95599eebb200176e2999,Vermelho,#EB0000,"['products/16062442587441-enika.jpg', 'products/16062442595742-enika.jpg', 'products/16062442599973-enika.jpg', 'products/16062442604324-enika.jpg', 'products/16062442608615-enika.jpg', 'products/16062442613076-enika.jpg', 'products/16062442617687-enika.jpg']",5fbd57a29dd8aa0017134f04,M,False,,,,,2020-12-17 20:36:43.081000+00:00
22,1,macacao-saruel-linho,5e1e1b3bd0ae4900176fb2f7,Macacão Saruel Linho,21500,5caf95599eebb200176e2999,Preto,#000000,"['products/157928274551722-mcsaruelpreto1.jpg', 'products/157928274911323-mcsaruelpreto2.jpg', 'products/157928275124324-mcsaruelpreto3.jpg', 'products/157928275321825-mcsaruelpreto5.jpg', 'products/157928275550326-mcsaruelpreto6.jpg']",5e21f13803524900178ffc8f,M,False,,,,,2021-01-13 14:59:39.824000+00:00
23,1,calca-pantoloon,5f6a441a56adc60017ee7704,Calça Pantoloon,18700,5caf95599eebb200176e2999,Natural,#E5CCB6,"['products/16007997711571-enika.jpg', 'products/16007997714602-enika.jpg', 'products/16007997715663-enika.jpg', 'products/16007997717454-enika.jpg', 'products/16007997718545-enika.jpg', 'products/16007997719536-enika.jpg', 'products/16007997720547-enika.jpg']",5f6a441a56adc60017ee7705,P,False,,,,,2020-12-19 13:34:34.707000+00:00
24,1,macacao-quatro,5f57fde7380b6c0017446dfc,Macacão Quatro,19600,5caf95599eebb200176e2999,Azul ,#5F63A7,"['products/15996021535561-enika', 'products/15996021559402-enika', 'products/15996021562213-enika']",5f57fde7380b6c0017446dfd,P,False,,,,,2020-12-21 23:07:20.509000+00:00
25,1,top-no,5d91edd8e60e59001748e807,Top Laço Linho,9900,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/15730600021931-DSC_0283.png', 'products/15730600105342-DSC_0294.png', 'products/15730600164143-DSC_0300.png', 'products/15730600224424-DSC_0319.png', 'products/15730600284985-DSC_0321.png', 'products/15730600341636-DSC_0328.png']",5dfb7af21e7b2600177c977f,P,False,,,,,2020-12-22 17:35:09.849000+00:00
26,1,short-mica,5f7e0d40ca1cb600176e5e75,Short Mica,16200,5caf95599eebb200176e2999,Estampa PeB,#000000,"['products/16020964484941-enika.jpg', 'products/16020964493052-enika.jpg', 'products/16020964497933-enika.jpg', 'products/16020964502154-enika.jpg', 'products/16020964507205-enika.jpg', 'products/16020964510286-enika.jpg']",5f7e0d40ca1cb600176e5e76,P,False,,,,,2020-12-22 17:35:09.849000+00:00
27,1,macaquinho-vestido-em-linho,5d93552550a40d001706cbf2,Macaquinho Vestido em Linho,19600,5caf95599eebb200176e2999,Preto,#000000,"['products/16068783927791-enika.jpg', 'products/16068783935112-enika.jpg', 'products/16068783937603-enika.jpg', 'products/16068783939174-enika.jpg', 'products/16068783940885-enika.jpg', 'products/16068783942206-enika.jpg']",5fc704b7588c8d00175e0586,P,False,,,,,2020-12-23 18:29:16.093000+00:00
28,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Verde,#20321A,"['products/160521034476713-enika.jpg', 'products/160521034899114-enika.jpg', 'products/160521035162715-enika.jpg', 'products/160521035399316-enika.jpg', 'products/160521035782117-enika.jpg', 'products/160521035995218-enika.jpg']",5fad90e711112f00173589ed,M,False,,,,,2020-12-23 18:29:16.093000+00:00
29,1,top-no,5d91edd8e60e59001748e807,Top Laço Linho,9900,5caf95599eebb200176e2999,Preto,#000000,"['products/15712549183141-DSC_0134.copia.png', 'products/15712549196212-DSC_0137.copia.png', 'products/15712549215313-DSC_0101.png', 'products/15712549241814-DSC_0107.png', 'products/15712549269145-DSC_0116.png', 'products/15712549297776-DSC_0104.png']",5dfb7af21e7b2600177c978b,P,False,,,,,2020-12-27 15:36:18.310000+00:00
30,1,jaqueta-veludo-bordado,5cf047b32b349000176e41db,Jaqueta Veludo Bordado,17800,5caf95599eebb200176e2999,Preto,#000000,"['products/1564691534410191-37715285_10215530482351747_4229255155364659200_n.jpg', 'products/1564691534822192-37726938_10215530481751732_9054039622610321408_n.jpg', 'products/1564691536198193-37691208_10215530481711731_2551936573620879360_n.jpg', 'products/1564691536816194-37763126_10215530481351722_3604393282731245568_n.jpg', 'products/1564691537024195-37794250_10215530481591728_2448602765740474368_n.jpg']",5dfb7ef31e7b2600177c98ac,P,False,,,,,2020-12-23 23:37:55.042000+00:00
31,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Amarelo,#FFD100,"['products/160588174748219-enika.jpg', 'products/160588174839020-enika.jpg', 'products/160588174889021-enika.jpg', 'products/160588174932622-enika.jpg', 'products/160588174987723-enika.jpg', 'products/160588175040524-enika.jpg']",5e1f698cfb9bc20017fe99ae,PP,False,,,,,2020-12-30 07:07:00.352000+00:00
32,1,quimono-estampado,5defa31e8921ce001767ed07,Quimono Estampado,14300,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/158099683301644-enika', 'products/158099684411045-enika', 'products/158099685545846-enika', 'products/158099686283847-enika']",5dfb78b41e7b2600177c9604,PP,,,,,,2020-10-23 02:53:41.342000+00:00
33,1,calca-alfaiataria-poa,5cdb2481b7105b0017c10a1d,Calça Alfaiataria Poá,16900,5caf95599eebb200176e2999,Preto,#000000,"['products/1564689991682102-57597642_540708129787960_3409228057540558848_n.jpg', 'products/1564689991964103-57821639_314136185948722_5623016646152028160_n.jpg', 'products/1564689992181104-58113484_286038282322866_6561067087333163008_n.jpg', 'products/1564689992423105-58378795_2070577679910933_5369662160358080512_n.jpg', 'products/1564689993269106-58381640_614525675687648_1604682309582192640_n.jpg', 'products/1564689993926107-58606396_375489043051789_6893092317289250816_n.jpg']",5dfb787c1e7b2600177c95c3,G,False,,,,,2020-10-31 01:55:40.596000+00:00
34,1,macacao-saruel-linho,5e1e1b3bd0ae4900176fb2f7,Macacão Saruel Linho,21500,5caf95599eebb200176e2999,Preto,#000000,"['products/157928274551722-mcsaruelpreto1.jpg', 'products/157928274911323-mcsaruelpreto2.jpg', 'products/157928275124324-mcsaruelpreto3.jpg', 'products/157928275321825-mcsaruelpreto5.jpg', 'products/157928275550326-mcsaruelpreto6.jpg']",5e21f13803524900178ffc8f,GG,False,,,,,2020-11-18 23:28:33.111000+00:00
